trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
699,False,"{'a': 0.5, 'e': 0.1719377011121125}",20,12,-6.64773072426449,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
700,False,"{'a': 0.5, 'e': 0.16996714290024081}",20,15,1.4180441791985707,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
701,False,"{'a': 0.5, 'e': 0.1679959048200241}",35,28,15.404983882977266,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
702,False,"{'a': 0.5, 'e': 0.1660239947564121}",20,12,14.095004439174017,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
703,False,"{'a': 0.5, 'e': 0.16405142059704247}",35,24,17.82214163358751,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
704,False,"{'a': 0.5, 'e': 0.1620781902322094}",25,13,-63.960570814518334,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 2}",1
705,False,"{'a': 0.5, 'e': 0.16010431155483126}",25,8,16.65577619217494,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
706,False,"{'a': 0.5, 'e': 0.1581297924604204}",25,13,-38.12481183687346,"{0: 9, 1: 2, 2: 0, 3: 0, 4: 1}",1
707,False,"{'a': 0.5, 'e': 0.15615464084705052}",20,15,9.455143877408645,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
708,False,"{'a': 0.5, 'e': 0.15417886461532546}",30,8,18.59625522000423,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
709,False,"{'a': 0.5, 'e': 0.15220247166834752}",20,1,-86.32310723835752,"{0: 15, 1: 1, 2: 0, 3: 1, 4: 2}",1
710,False,"{'a': 0.5, 'e': 0.15022546991168584}",30,8,-37.27890207338836,"{0: 19, 1: 0, 2: 1, 3: 1, 4: 1}",1
711,False,"{'a': 0.5, 'e': 0.14824786725334482}",20,9,16.858308908894973,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
712,False,"{'a': 0.5, 'e': 0.14626967160373244}",25,15,5.722981162983474,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
713,False,"{'a': 0.5, 'e': 0.14429089087562866}",30,17,11.118486577599597,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
714,False,"{'a': 0.5, 'e': 0.14231153298415378}",25,16,16.953751501543913,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
715,False,"{'a': 0.5, 'e': 0.1403316058467367}",20,11,-8.693177199599713,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
716,False,"{'a': 0.5, 'e': 0.13835111738308337}",20,13,15.774242603021234,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
717,False,"{'a': 0.5, 'e': 0.13637007551514496}",20,7,24.013316522681244,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
718,False,"{'a': 0.5, 'e': 0.13438848816708632}",30,15,-7.984338272704649,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 0}",1
719,False,"{'a': 0.5, 'e': 0.13240636326525418}",30,0,-0.5805611142992355,"{0: 26, 1: 0, 2: 4, 3: 0, 4: 0}",0
720,False,"{'a': 0.5, 'e': 0.13042370873814554}",20,11,18.533992738529925,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
721,False,"{'a': 0.5, 'e': 0.12844053251637583}",20,14,10.023452159739024,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
722,False,"{'a': 0.5, 'e': 0.12645684253264733}",25,12,24.637283002186155,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
723,False,"{'a': 0.5, 'e': 0.12447264672171729}",25,15,19.71885347266405,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
724,False,"{'a': 0.5, 'e': 0.12248795302036633}",20,3,31.774251117145194,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
725,False,"{'a': 0.5, 'e': 0.1205027693673666}",30,12,-19.505292983252755,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
726,False,"{'a': 0.5, 'e': 0.11851710370345009}",20,0,6.476388610163986,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
727,False,"{'a': 0.5, 'e': 0.11653096397127677}",25,13,20.40410242270785,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
728,False,"{'a': 0.5, 'e': 0.11454435811540295}",20,7,15.946777953862867,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
729,False,"{'a': 0.5, 'e': 0.11255729408224939}",25,12,-5.470652776187009,"{0: 11, 1: 0, 2: 1, 3: 1, 4: 0}",1
730,False,"{'a': 0.5, 'e': 0.11056977982006957}",20,12,17.775176779628897,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
731,False,"{'a': 0.5, 'e': 0.10858182327891791}",25,17,3.682295469575918,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
732,False,"{'a': 0.5, 'e': 0.10659343241061792}",25,15,5.874684380110408,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
733,False,"{'a': 0.5, 'e': 0.10460461516873039}",25,8,32.568297737301265,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
734,False,"{'a': 0.5, 'e': 0.10261537950852166}",20,14,11.977348252942248,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
735,False,"{'a': 0.5, 'e': 0.10062573338693172}",25,10,23.25972978535607,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
736,False,"{'a': 0.5, 'e': 0.0986356847625424}",20,6,27.570608231919785,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
737,False,"{'a': 0.5, 'e': 0.09664524159554555}",25,0,26.156744800292188,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
738,False,"{'a': 0.5, 'e': 0.09465441184771117}",20,16,8.655740216080606,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
